latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
22.32618,97.59787,306.8,2.12,1.42,2022-01-24,0340,T,59,6.1NRT,292.86,15.55,D
18.99478,99.89998,305.85,1.32,1.14,2022-01-24,0340,T,39,6.1NRT,295.74,5.39,D
17.38896,101.81741,317.32,1.04,1.02,2022-01-24,0342,T,69,6.1NRT,297.92,10.45,D
15.01596,101.86953,317.45,1.01,1.01,2022-01-24,0342,T,58,6.1NRT,301.12,7.09,D
14.14142,101.48148,319.23,1.02,1.01,2022-01-24,0342,T,60,6.1NRT,303.11,10.04,D
14.11934,101.24817,323.86,1.03,1.02,2022-01-24,0342,T,68,6.1NRT,302.25,11.68,D
13.46418,99.47988,315.59,1.2,1.09,2022-01-24,0342,T,51,6.1NRT,301.34,8.15,D
13.35112,98.56245,313.84,1.36,1.15,2022-01-24,0342,T,65,6.1NRT,301.78,10.21,D
5.5734,100.48159,318.86,1,1,2022-01-24,0344,T,61,6.1NRT,293.24,8.94,D
27.55957,101.8898,304.01,1.29,1.13,2022-01-24,0338,T,58,6.1NRT,282.79,11.57,D
27.41477,101.21032,301.79,1.41,1.18,2022-01-24,0338,T,44,6.1NRT,288.47,7.62,D
26.9145,101.84091,308.38,1.28,1.12,2022-01-24,0338,T,67,6.1NRT,283.48,15.06,D
26.91307,101.85267,300.49,1.28,1.12,2022-01-24,0338,T,19,6.1NRT,283.74,7.37,D
26.57959,101.66845,316.89,1.29,1.13,2022-01-24,0338,T,77,6.1NRT,293.12,17.21,D
26.52389,101.95721,320.14,1.24,1.11,2022-01-24,0338,T,80,6.1NRT,291.66,22.48,D
26.5223,101.97009,307.37,1.24,1.11,2022-01-24,0338,T,52,6.1NRT,289.46,9.02,D
26.40062,101.80025,310.6,1.26,1.12,2022-01-24,0338,T,63,6.1NRT,291.02,11.24,D
26.32387,101.76319,308.67,1.27,1.12,2022-01-24,0338,T,49,6.1NRT,292.91,9.18,D
26.32307,101.76902,309.04,1.27,1.12,2022-01-24,0338,T,63,6.1NRT,291.86,9.43,D
23.4546,100.59599,303.67,1.37,1.16,2022-01-24,0338,T,57,6.1NRT,284.94,10.2,D
22.6911,100.85739,306.06,1.29,1.13,2022-01-24,0338,T,63,6.1NRT,286.89,10.19,D
17.53548,78.27866,312.8,1,1,2022-01-24,0520,T,52,6.1NRT,299.4,4.96,D
17.20519,80.0962,311.96,1.08,1.04,2022-01-24,0520,T,60,6.1NRT,299.86,5.1,D
17.20362,80.10623,313.53,1.08,1.04,2022-01-24,0520,T,64,6.1NRT,300.1,6.38,D
17.61481,76.94758,319.12,1.05,1.03,2022-01-24,0520,T,69,6.1NRT,300.5,9.96,D
17.94658,74.05396,308.53,1.51,1.21,2022-01-24,0520,T,51,6.1NRT,295.67,7.47,D
17.63313,76.2849,313,1.12,1.05,2022-01-24,0520,T,50,6.1NRT,297.83,5.86,D
17.85322,73.88951,308.13,1.55,1.23,2022-01-24,0520,T,52,6.1NRT,296.06,8.05,D
17.19704,78.1349,315.13,1,1,2022-01-24,0520,T,60,6.1NRT,300.85,6.42,D
17.20525,77.1786,316.75,1.03,1.02,2022-01-24,0520,T,62,6.1NRT,301.54,6.26,D
16.08124,79.66899,318.99,1.07,1.03,2022-01-24,0520,T,62,6.1NRT,299.62,11.82,D
15.73662,77.15088,321.18,1.02,1.01,2022-01-24,0520,T,70,6.1NRT,305.46,10.69,D
15.38486,77.03533,317.38,1.02,1.01,2022-01-24,0520,T,63,6.1NRT,301.75,8.1,D
15.02772,78.8393,313.13,1.03,1.01,2022-01-24,0520,T,36,6.1NRT,300.46,6.27,D
15.03339,77.87089,319.54,1,1,2022-01-24,0520,T,59,6.1NRT,305.24,7.05,D
15.03169,77.57025,318.1,1,1,2022-01-24,0520,T,65,6.1NRT,304.65,6.28,D
15.21525,75.95771,342.61,1.1,1.04,2022-01-24,0520,T,91,6.1NRT,305.51,43.08,D
15.21385,75.96778,342.24,1.1,1.04,2022-01-24,0520,T,91,6.1NRT,304.32,42.65,D
13.06626,74.88441,312.43,1.17,1.08,2022-01-24,0522,T,60,6.1NRT,298.05,7.09,D
13.06478,74.89511,314.67,1.17,1.08,2022-01-24,0522,T,65,6.1NRT,297.93,9.36,D
11.88705,79.34197,310.9,1.13,1.06,2022-01-24,0522,T,29,6.1NRT,294.7,3.79,D
11.89715,77.01604,313.86,1,1,2022-01-24,0522,T,59,6.1NRT,302.57,4.93,D
11.03557,78.59195,315.69,1.07,1.03,2022-01-24,0522,T,61,6.1NRT,299.69,6.56,D
10.35113,79.72254,314.93,1.23,1.1,2022-01-24,0522,T,0,6.1NRT,300.7,10.3,D
10.37057,77.43143,323.03,1.01,1,2022-01-24,0522,T,79,6.1NRT,293.24,17.44,D
8.19028,77.58693,311.2,1.04,1.02,2022-01-24,0522,T,47,6.1NRT,283.23,6.73,D
23.03568,79.36069,310.65,1,1,2022-01-24,0518,T,69,6.1NRT,289.95,8.65,D
22.84808,79.25207,305.3,1,1,2022-01-24,0518,T,49,6.1NRT,288.01,4.95,D
22.89334,78.87242,308.64,1.01,1.01,2022-01-24,0518,T,65,6.1NRT,291.93,6.48,D
22.85533,78.81638,306.81,1.02,1.01,2022-01-24,0518,T,62,6.1NRT,291.62,5.83,D
20.96187,85.16985,307.39,1.91,1.35,2022-01-24,0518,T,44,6.1NRT,292.02,9.62,D
20.9573,85.16322,305.24,1.91,1.35,2022-01-24,0518,T,22,6.1NRT,290.8,6.72,D
22.20425,75.93801,308.51,1.31,1.13,2022-01-24,0518,T,64,6.1NRT,292.93,8.26,D
22.20273,75.95056,306.37,1.3,1.13,2022-01-24,0518,T,47,6.1NRT,292.93,6.37,D
22.20462,75.94473,308.58,1.3,1.13,2022-01-24,0518,T,0,6.1NRT,293.27,8.06,D
21.28157,76.72012,307.36,1.16,1.07,2022-01-24,0518,T,40,6.1NRT,293.85,5.6,D
21.43402,74.51204,305.66,1.57,1.24,2022-01-24,0518,T,32,6.1NRT,292.86,6.44,D
21.4005,74.79194,332.96,1.5,1.21,2022-01-24,0518,T,87,6.1NRT,295.42,53.55,D
21.39876,74.80634,330.37,1.5,1.21,2022-01-24,0518,T,85,6.1NRT,294.69,47.27,D
20.40065,74.91774,311.95,1.43,1.18,2022-01-24,0518,T,65,6.1NRT,295.18,11.55,D
20.1097,76.15629,308.14,1.2,1.09,2022-01-24,0518,T,46,6.1NRT,295.19,6.7,D
19.70642,74.7406,309.39,1.44,1.19,2022-01-24,0518,T,57,6.1NRT,295.87,9.32,D
19.70062,74.74712,310.65,1.44,1.19,2022-01-24,0518,T,61,6.1NRT,295.63,10.16,D
19.37732,77.04125,307.72,1.08,1.04,2022-01-24,0518,T,47,6.1NRT,295.02,4.36,D
19.59545,74.99026,308.49,1.38,1.16,2022-01-24,0518,T,50,6.1NRT,294.67,7.21,D
19.31451,77.15558,308.62,1.07,1.03,2022-01-24,0518,T,53,6.1NRT,295.29,4.49,D
19.58502,74.9889,308.74,1.38,1.16,2022-01-24,0518,T,55,6.1NRT,294.54,7.23,D
